date,시구,행정동,담당 우체국명,event_type,allocation_event_type,plan_ids,집배원수,세대수,사업체수,면적 (㎢),행정동_위도,행정동_경도,담당 우체국 위도,담당 우체국 경도,office_dong_distance_km,no_event_allocated_volume,allocated_volume_low,allocated_volume_base,allocated_volume_high,event_added_volume_base,no_event_volume_per_courier,volume_per_courier_low,volume_per_courier_base,volume_per_courier_high,event_added_volume_per_courier_base,no_event_load_score,load_score_base,distance_score,area_score,no_event_relative_lt_risk_index,relative_lt_risk_index_low,relative_lt_risk_index_base,relative_lt_risk_index_high,event_risk_delta_low,event_risk_delta_base,event_risk_delta_high,relative_risk_level_low,relative_risk_level_base,relative_risk_level_high,daily_priority_rank_low,daily_priority_rank_base,daily_priority_rank_high,event_uplift_rank_low,event_uplift_rank_base,event_uplift_rank_high
2026-01-02,유성구,구즉동,대전유성우체국,없음,없음,없음,6.819,15084,2078,27.5,36.4610487793129,127.37859881853969,36.354967,127.344751,12.178,1410.661794132279,1410.661794132279,1410.661794132279,1410.661794132279,0.0,206.87,206.87,206.87,206.87,0.0,59.311,59.311,98.765,92.593,70.53,70.53,70.53,70.53,0.0,0.0,0.0,Medium,Medium,Medium,1,1,1,,,
2026-01-02,중구,산성동,서대전우체국,없음,없음,없음,8.333,12636,3935,41.6,36.26048562238599,127.40973644048536,36.3344823,127.3979405,8.296,1715.5214434024053,1715.5214434024053,1715.5214434024053,1715.5214434024053,0.0,205.87,205.87,205.87,205.87,0.0,59.037,59.037,86.42,96.296,68.239,68.239,68.239,68.239,0.0,0.0,0.0,Medium,Medium,Medium,2,2,2,,,
2026-01-02,동구,산내동,대전우체국,없음,없음,없음,5.251,8289,2247,50.42,36.24934161075709,127.46264937980769,36.3289462,127.433855,9.22,1044.0286501074283,1044.0286501074283,1044.0286501074283,1044.0286501074283,0.0,198.82,198.82,198.82,198.82,0.0,56.795,56.795,92.593,98.765,68.152,68.152,68.152,68.152,0.0,0.0,0.0,Medium,Medium,Medium,3,3,3,,,
2026-01-02,유성구,관평동,대전유성우체국,없음,없음,없음,9.276,12675,4693,7.2,36.42262206583791,127.3987605326769,36.354967,127.344751,8.942,1902.261950749303,1902.261950749303,1902.261950749303,1902.261950749303,0.0,205.07,205.07,205.07,205.07,0.0,58.796,58.796,91.358,82.716,67.7,67.7,67.7,67.7,0.0,0.0,0.0,Medium,Medium,Medium,4,4,4,,,
2026-01-02,대덕구,오정동,대전대덕우체국,없음,없음,없음,7.615,7509,4629,3.06,36.352134022277255,127.4158434789732,36.4474738,127.4003943,10.691,1576.6974684827956,1576.6974684827956,1576.6974684827956,1576.6974684827956,0.0,207.05,207.05,207.05,207.05,0.0,59.355,59.355,97.531,65.432,67.598,67.598,67.598,67.598,0.0,0.0,0.0,Medium,Medium,Medium,5,5,5,,,
2026-01-02,서구,기성동,대전둔산우체국,없음,없음,없음,1.272,1832,533,49.16,36.23367009769695,127.32510895577362,36.3518707,127.3862544,14.24,239.59645909841436,239.59645909841436,239.59645909841436,239.59645909841436,0.0,188.36,188.36,188.36,188.36,0.0,53.582,53.582,100.0,97.531,67.26,67.26,67.26,67.26,0.0,0.0,0.0,Normal,Normal,Normal,6,6,6,,,
2026-01-02,유성구,진잠동,대전유성우체국,없음,없음,없음,7.592,11811,3413,40.4,36.298709622346934,127.29164124676134,36.354967,127.344751,7.859,1539.0278131442296,1539.0278131442296,1539.0278131442296,1539.0278131442296,0.0,202.72,202.72,202.72,202.72,0.0,58.146,58.146,83.951,95.062,66.999,66.999,66.999,66.999,0.0,0.0,0.0,Normal,Normal,Normal,7,7,7,,,
2026-01-02,대덕구,대화동,대전대덕우체국,없음,없음,없음,4.622,3374,3203,3.18,36.369581615188885,127.4072683699094,36.4474738,127.4003943,8.683,981.663401339544,981.663401339544,981.663401339544,981.663401339544,0.0,212.39,212.39,212.39,212.39,0.0,61.097,61.097,87.654,66.667,66.965,66.965,66.965,66.965,0.0,0.0,0.0,Normal,Normal,Normal,8,8,8,,,
2026-01-02,서구,관저2동,대전둔산우체국,없음,없음,없음,10.197,19599,3739,4.62,36.29134224245876,127.33262654645571,36.3518707,127.3862544,8.269,2085.6673814986043,2085.6673814986043,2085.6673814986043,2085.6673814986043,0.0,204.54,204.54,204.54,204.54,0.0,58.665,58.665,85.185,71.605,65.263,65.263,65.263,65.263,0.0,0.0,0.0,Normal,Normal,Normal,9,9,9,,,
2026-01-02,유성구,전민동,대전유성우체국,없음,없음,없음,6.442,11507,2618,9.01,36.39354358872492,127.39578592619606,36.354967,127.344751,6.267,1327.3844396322177,1327.3844396322177,1327.3844396322177,1327.3844396322177,0.0,206.05,206.05,206.05,206.05,0.0,59.099,59.099,76.543,85.185,65.196,65.196,65.196,65.196,0.0,0.0,0.0,Normal,Normal,Normal,10,10,10,,,
2026-01-02,유성구,노은2동,대전유성우체국,없음,없음,없음,4.377,9538,1358,10.4,36.40052956555536,127.31302876843688,36.354967,127.344751,5.808,902.7082426518813,902.7082426518813,902.7082426518813,902.7082426518813,0.0,206.24,206.24,206.24,206.24,0.0,59.143,59.143,75.309,86.42,65.104,65.104,65.104,65.104,0.0,0.0,0.0,Normal,Normal,Normal,11,11,11,,,
2026-01-02,대덕구,비래동,대전대덕우체국,없음,없음,없음,4.064,6952,1558,3.35,36.36472076902099,127.45496959210804,36.4474738,127.4003943,10.418,796.1851055380499,796.1851055380499,796.1851055380499,796.1851055380499,0.0,195.91,195.91,195.91,195.91,0.0,55.66,55.66,96.296,67.901,65.011,65.011,65.011,65.011,0.0,0.0,0.0,Normal,Normal,Normal,12,12,12,,,
2026-01-02,유성구,신성동,대전유성우체국,없음,없음,없음,7.073,12292,2937,31.0,36.403489115696104,127.3538295503692,36.354967,127.344751,5.456,1452.0935645197567,1452.0935645197567,1452.0935645197567,1452.0935645197567,0.0,205.3,205.3,205.3,205.3,0.0,58.858,58.858,71.605,93.827,64.904,64.904,64.904,64.904,0.0,0.0,0.0,Normal,Normal,Normal,13,13,13,,,
2026-01-02,대덕구,회덕동,대전대덕우체국,없음,없음,없음,4.141,5469,2075,16.83,36.3968631240258,127.43366288251433,36.4474738,127.4003943,6.366,832.9667078329975,832.9667078329975,832.9667078329975,832.9667078329975,0.0,201.15,201.15,201.15,201.15,0.0,57.617,57.617,77.778,90.123,64.9,64.9,64.9,64.9,0.0,0.0,0.0,Normal,Normal,Normal,14,14,14,,,
