계획ID,접수일자,연도,이벤트명,이벤트유형,이벤트군,발송기관,발송순서,발송일수,발송일수_구분,일별배분비율,계획총예상추가물량_낮음,계획총예상추가물량_기준,계획총예상추가물량_높음,예상추가물량_낮음,예상추가물량_기준,예상추가물량_높음,배분비율산정방법,배분이력표본수,배분이력기준종료일,계획상태,모델입력사용가능,확신수준,원천데이터관측여부
BDP-002,2024-02-21,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),1,5,달력일,0.2,0,0,0,0,0,0,과거 분포 없음: 발송일수 균등배분,0,,과거백테스트계획,1,보통,1
BDP-002,2024-02-22,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),2,5,달력일,0.2,0,0,0,0,0,0,과거 분포 없음: 발송일수 균등배분,0,,과거백테스트계획,1,보통,1
BDP-002,2024-02-23,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),3,5,달력일,0.2,0,0,0,0,0,0,과거 분포 없음: 발송일수 균등배분,0,,과거백테스트계획,1,보통,1
BDP-002,2024-02-24,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),4,5,달력일,0.2,0,0,0,0,0,0,과거 분포 없음: 발송일수 균등배분,0,,과거백테스트계획,1,보통,0
BDP-002,2024-02-25,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),5,5,달력일,0.2,0,0,0,0,0,0,과거 분포 없음: 발송일수 균등배분,0,,과거백테스트계획,1,보통,0
BDP-003,2024-03-21,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),1,5,달력일,0.0,0,34189,68378,0,0,0,동일 이벤트 과거 발송분포의 순서별 중앙값,1,2024-02-25,과거백테스트계획,1,보통,1
BDP-003,2024-03-22,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),2,5,달력일,1.0,0,34189,68378,0,34189,68378,동일 이벤트 과거 발송분포의 순서별 중앙값,1,2024-02-25,과거백테스트계획,1,보통,1
BDP-003,2024-03-23,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),3,5,달력일,0.0,0,34189,68378,0,0,0,동일 이벤트 과거 발송분포의 순서별 중앙값,1,2024-02-25,과거백테스트계획,1,보통,0
BDP-003,2024-03-24,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),4,5,달력일,0.0,0,34189,68378,0,0,0,동일 이벤트 과거 발송분포의 순서별 중앙값,1,2024-02-25,과거백테스트계획,1,보통,0
BDP-003,2024-03-25,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),5,5,달력일,0.0,0,34189,68378,0,0,0,동일 이벤트 과거 발송분포의 순서별 중앙값,1,2024-02-25,과거백테스트계획,1,보통,1
BDP-004,2024-04-21,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),1,5,달력일,0.0,0,0,68378,0,0,0,동일 이벤트 과거 발송분포의 순서별 중앙값,1,2024-02-25,과거백테스트계획,1,보통,0
BDP-004,2024-04-22,2024,사회보험료 통합,혼합형,사회보험,국민건강보험공단(사회보험 통합징수),2,5,달력일,1.0,0,0,68378,0,0,68378,동일 이벤트 과거 발송분포의 순서별 중앙값,1,2024-02-25,과거백테스트계획,1,보통,1
