date,행정동,event_type,plan_ids,allocation_event_type,no_event_allocated_volume,allocated_volume_low,allocated_volume_base,allocated_volume_high,allocated_volume,사업체수,시구,세대수,면적 (㎢),주소수,담당 통상배달국명,집배원수,주소밀도,행정동_위도,행정동_경도,담당 우체국명,담당 우체국 공식주소,담당 우체국 위도,담당 우체국 경도,배달국_집배원수,배달국내_주소비율,배달국내_세대비율,배달국내_사업체비율,인력배분비율,면적,no_event_volume_per_courier,volume_per_courier_low,event_added_volume_low,event_added_volume_per_courier_low,volume_per_courier_base,event_added_volume_base,event_added_volume_per_courier_base,volume_per_courier_high,event_added_volume_high,event_added_volume_per_courier_high,volume_per_courier,office_dong_distance_km,sqrt_area_km,no_event_load_score,load_score_low,load_score_base,load_score_high,load_score,distance_score,area_score,relative_lt_risk_index_low,relative_lt_risk_index_base,relative_lt_risk_index_high,no_event_relative_lt_risk_index,event_risk_delta_low,event_risk_delta_base,event_risk_delta_high,relative_lt_risk_index,event_risk_delta,relative_risk_level_low,relative_risk_level_base,relative_risk_level_high,relative_risk_level,daily_priority_rank_low,daily_priority_rank_base,daily_priority_rank_high,daily_priority_rank,event_uplift_rank_low,event_uplift_rank_base,event_uplift_rank_high,event_uplift_rank
2026-01-02,오정동,없음,없음,없음,1576.6974684827956,1576.6974684827956,1576.6974684827956,1576.6974684827956,1576.6974684827956,4629,대덕구,7509,3.06,3194,대전대덕,7.615,1043.7908496732025,36.352134022277255,127.4158434789732,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.178655,0.093503,0.182409,0.138448,3.06,207.05,207.05,0.0,0.0,207.05,0.0,0.0,207.05,0.0,0.0,207.05,10.691,1.749,59.355,59.355,59.355,59.355,59.355,97.531,65.432,67.598,67.598,67.598,67.598,0.0,0.0,0.0,67.598,0.0,Medium,Medium,Medium,Medium,5,5,5,5,,,,
2026-01-02,대화동,없음,없음,없음,981.663401339544,981.663401339544,981.663401339544,981.663401339544,981.663401339544,3203,대덕구,3374,3.18,1310,대전대덕,4.622,411.9496855345912,36.369581615188885,127.4072683699094,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.073274,0.042013,0.126217,0.084038,3.18,212.39,212.39,0.0,0.0,212.39,0.0,0.0,212.39,0.0,0.0,212.39,8.683,1.783,61.097,61.097,61.097,61.097,61.097,87.654,66.667,66.965,66.965,66.965,66.965,0.0,0.0,0.0,66.965,0.0,Normal,Normal,Normal,Normal,8,8,8,8,,,,
2026-01-02,회덕동,없음,없음,없음,832.9667078329975,832.9667078329975,832.9667078329975,832.9667078329975,832.9667078329975,2075,대덕구,5469,16.83,1912,대전대덕,4.141,113.60665478312538,36.3968631240258,127.43366288251433,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.106947,0.0681,0.081767,0.075293,16.83,201.15,201.15,0.0,0.0,201.15,0.0,0.0,201.15,0.0,0.0,201.15,6.366,4.102,57.617,57.617,57.617,57.617,57.617,77.778,90.123,64.9,64.9,64.9,64.9,0.0,0.0,0.0,64.9,0.0,Normal,Normal,Normal,Normal,14,14,14,14,,,,
2026-01-02,비래동,없음,없음,없음,796.1851055380499,796.1851055380499,796.1851055380499,796.1851055380499,796.1851055380499,1558,대덕구,6952,3.35,1197,대전대덕,4.064,357.3134328358209,36.36472076902099,127.45496959210804,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.066954,0.086567,0.061394,0.073891,3.35,195.91,195.91,0.0,0.0,195.91,0.0,0.0,195.91,0.0,0.0,195.91,10.418,1.83,55.66,55.66,55.66,55.66,55.66,96.296,67.901,65.011,65.011,65.011,65.011,0.0,0.0,0.0,65.011,0.0,Normal,Normal,Normal,Normal,12,12,12,12,,,,
2026-01-02,송촌동,없음,없음,없음,1209.3313233446647,1209.3313233446647,1209.3313233446647,1209.3313233446647,1209.3313233446647,2390,대덕구,10464,1.94,1233,대전대덕,6.146,635.5670103092783,36.36328114121035,127.44313999946206,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.068967,0.130298,0.09418,0.111745,1.94,196.77,196.77,0.0,0.0,196.77,0.0,0.0,196.77,0.0,0.0,196.77,10.113,1.393,55.999,55.999,55.999,55.999,55.999,95.062,55.556,63.767,63.767,63.767,63.767,0.0,0.0,0.0,63.767,0.0,Normal,Normal,Normal,Normal,19,19,19,19,,,,
2026-01-02,중리동,없음,없음,없음,1366.75432366833,1366.75432366833,1366.75432366833,1366.75432366833,1366.75432366833,3045,대덕구,10432,1.5,3050,대전대덕,6.899,2033.3333333333333,36.36162377549439,127.42768109862216,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.170601,0.1299,0.119991,0.125442,1.5,198.11,198.11,0.0,0.0,198.11,0.0,0.0,198.11,0.0,0.0,198.11,9.854,1.225,56.54,56.54,56.54,56.54,56.54,93.827,45.062,62.85,62.85,62.85,62.85,0.0,0.0,0.0,62.85,0.0,Normal,Normal,Normal,Normal,22,22,22,22,,,,
2026-01-02,법1동,없음,없음,없음,488.17867277633997,488.17867277633997,488.17867277633997,488.17867277633997,488.17867277633997,562,대덕구,5857,0.71,65,대전대덕,2.587,91.54929577464787,36.37128414285752,127.42585558094534,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.003636,0.072932,0.022146,0.047031,0.71,188.7,188.7,0.0,0.0,188.7,0.0,0.0,188.7,0.0,0.0,188.7,8.773,0.843,53.67,53.67,53.67,53.67,53.67,90.123,10.494,56.643,56.643,56.643,56.643,0.0,0.0,0.0,56.643,0.0,Normal,Normal,Normal,Normal,38,38,38,38,,,,
2026-01-02,법2동,없음,없음,없음,626.6034417193723,626.6034417193723,626.6034417193723,626.6034417193723,626.6034417193723,910,대덕구,6753,1.92,202,대전대덕,3.268,105.20833333333334,36.3742416417714,127.4367092870571,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.011299,0.084089,0.035859,0.059414,1.92,191.74,191.74,0.0,0.0,191.74,0.0,0.0,191.74,0.0,0.0,191.74,8.768,1.386,54.356,54.356,54.356,54.356,54.356,88.889,54.321,61.259,61.259,61.259,61.259,0.0,0.0,0.0,61.259,0.0,Normal,Normal,Normal,Normal,26,26,26,26,,,,
2026-01-02,신탄진동,없음,없음,없음,777.8942698660323,777.8942698660323,777.8942698660323,777.8942698660323,777.8942698660323,1469,대덕구,7008,22.99,2037,대전대덕,4.016,88.60374075685081,36.440181349056104,127.46225983056888,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.113939,0.087264,0.057887,0.073016,22.99,193.7,193.7,0.0,0.0,193.7,0.0,0.0,193.7,0.0,0.0,193.7,5.593,4.795,54.922,54.922,54.922,54.922,54.922,72.84,91.358,62.149,62.149,62.149,62.149,0.0,0.0,0.0,62.149,0.0,Normal,Normal,Normal,Normal,23,23,23,23,,,,
2026-01-02,석봉동,없음,없음,없음,705.0554696199684,705.0554696199684,705.0554696199684,705.0554696199684,705.0554696199684,1250,대덕구,6682,1.22,893,대전대덕,3.632,731.9672131147541,36.44937602135271,127.42369434147474,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.04995,0.083205,0.049257,0.066035,1.22,194.12,194.12,0.0,0.0,194.12,0.0,0.0,194.12,0.0,0.0,194.12,2.095,1.105,55.032,55.032,55.032,55.032,55.032,40.741,35.802,50.251,50.251,50.251,50.251,0.0,0.0,0.0,50.251,0.0,Normal,Normal,Normal,Normal,56,56,56,56,,,,
2026-01-02,덕암동,없음,없음,없음,963.9196856485503,963.9196856485503,963.9196856485503,963.9196856485503,963.9196856485503,2321,대덕구,6654,6.24,2077,대전대덕,4.812,332.8525641025641,36.43111934375323,127.428254440318,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.116176,0.082856,0.091461,0.087482,6.24,200.32,200.32,0.0,0.0,200.32,0.0,0.0,200.32,0.0,0.0,200.32,3.085,2.498,57.31,57.31,57.31,57.31,57.31,55.556,80.247,59.253,59.253,59.253,59.253,0.0,0.0,0.0,59.253,0.0,Normal,Normal,Normal,Normal,30,30,30,30,,,,
2026-01-02,목상동,없음,없음,없음,667.2910631255444,667.2910631255444,667.2910631255444,667.2910631255444,667.2910631255444,1965,대덕구,3154,5.79,708,대전대덕,3.199,122.27979274611398,36.43993740673555,127.40305896551196,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.039602,0.039274,0.077432,0.058166,5.79,208.59,208.59,0.0,0.0,208.59,0.0,0.0,208.59,0.0,0.0,208.59,0.871,2.406,59.76,59.76,59.76,59.76,59.76,6.173,77.778,50.844,50.844,50.844,50.844,0.0,0.0,0.0,50.844,0.0,Normal,Normal,Normal,Normal,53,53,53,53,,,,
2026-01-02,중앙동,없음,없음,없음,938.8704244073018,938.8704244073018,938.8704244073018,938.8704244073018,938.8704244073018,3182,동구,2746,1.24,2625,대전,4.886,2116.935483870968,36.33113888314285,127.43416166313315,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.10208,0.025194,0.131803,0.078811,1.24,192.16,192.16,0.0,0.0,192.16,0.0,0.0,192.16,0.0,0.0,192.16,0.245,1.114,54.477,54.477,54.477,54.477,54.477,0.0,37.037,41.838,41.838,41.838,41.838,0.0,0.0,0.0,41.838,0.0,Normal,Normal,Normal,Normal,82,82,82,82,,,,
2026-01-02,신인동,없음,없음,없음,653.0405739038652,653.0405739038652,653.0405739038652,653.0405739038652,653.0405739038652,976,동구,6926,0.82,839,대전,3.209,1023.1707317073171,36.32259117871861,127.44114624924396,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.032627,0.063544,0.040427,0.051761,0.82,203.5,203.5,0.0,0.0,203.5,0.0,0.0,203.5,0.0,0.0,203.5,0.962,0.906,58.38,58.38,58.38,58.38,58.38,7.407,18.519,44.199,44.199,44.199,44.199,0.0,0.0,0.0,44.199,0.0,Normal,Normal,Normal,Normal,77,77,77,77,,,,
2026-01-02,효동,없음,없음,없음,1050.7151670996564,1050.7151670996564,1050.7151670996564,1050.7151670996564,1050.7151670996564,2107,동구,8968,2.41,847,대전,5.221,351.45228215767634,36.31036013413472,127.4565776733535,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.032938,0.082278,0.087275,0.084209,2.41,201.25,201.25,0.0,0.0,201.25,0.0,0.0,201.25,0.0,0.0,201.25,2.901,1.552,57.642,57.642,57.642,57.642,57.642,53.086,60.494,57.016,57.016,57.016,57.016,0.0,0.0,0.0,57.016,0.0,Normal,Normal,Normal,Normal,35,35,35,35,,,,
2026-01-02,판암1동,없음,없음,없음,562.0327945193095,562.0327945193095,562.0327945193095,562.0327945193095,562.0327945193095,835,동구,5981,5.36,592,대전,2.758,110.44776119402984,36.31738327042319,127.46931161511564,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.023022,0.054874,0.034587,0.044481,5.36,203.78,203.78,0.0,0.0,203.78,0.0,0.0,203.78,0.0,0.0,203.78,3.427,2.315,58.46,58.46,58.46,58.46,58.46,59.259,76.543,60.428,60.428,60.428,60.428,0.0,0.0,0.0,60.428,0.0,Normal,Normal,Normal,Normal,28,28,28,28,,,,
2026-01-02,판암2동,없음,없음,없음,421.92943347070815,421.92943347070815,421.92943347070815,421.92943347070815,421.92943347070815,469,동구,5130,0.76,632,대전,2.055,831.578947368421,36.32116846444311,127.45481653995778,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.024577,0.047066,0.019427,0.033137,0.76,205.32,205.32,0.0,0.0,205.32,0.0,0.0,205.32,0.0,0.0,205.32,2.067,0.872,58.858,58.858,58.858,58.858,58.858,37.037,14.815,50.089,50.089,50.089,50.089,0.0,0.0,0.0,50.089,0.0,Normal,Normal,Normal,Normal,57,57,57,57,,,,
