접수일자,접수지역,접수통수,요일,제1기분 자동차세2,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2024.3.4,대전광역시,151341,월,0,0,0,0,0,0,0
2024.3.5,대전광역시,88599,화,0,0,0,0,0,0,0
2024.3.6,대전광역시,132580,수,0,0,0,0,0,0,0
2024.3.7,대전광역시,114981,목,0,0,0,0,0,0,0
2024.3.8,대전광역시,40932,금,0,0,0,0,0,0,0
2024.3.11,대전광역시,131458,월,0,0,0,0,0,0,0
2024.3.12,대전광역시,79671,화,0,0,0,0,0,0,0
2024.3.13,대전광역시,113881,수,0,0,0,0,0,0,0
2024.3.14,대전광역시,154502,목,0,0,0,0,0,0,0
2024.3.15,대전광역시,104741,금,0,0,0,0,0,0,0
2024.3.18,대전광역시,148801,월,0,0,0,0,0,0,0
2024.3.19,대전광역시,91742,화,0,0,0,0,0,0,0
2024.3.20,대전광역시,101139,수,0,0,0,0,0,0,0
2024.3.21,대전광역시,97861,목,0,0,0,0,0,0,1
2024.3.22,대전광역시,66990,금,0,0,0,0,0,0,1
2024.3.25,대전광역시,84439,월,0,0,0,0,0,0,1
2024.3.26,대전광역시,62777,화,0,0,0,0,0,0,0
2024.3.27,대전광역시,104513,수,0,0,0,0,0,0,0
2024.3.28,대전광역시,49931,목,0,0,0,0,0,0,0
2024.3.29,대전광역시,66656,금,0,0,0,0,0,0,0
2024.3.30,대전광역시,678618,토,0,0,0,0,0,0,0
2024.3.31,대전광역시,4922,일,0,0,0,0,0,0,0
