접수일자,접수지역,접수통수,요일,제1기분 자동차세2,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합,
2024.4.1,대전광역시,119711,월,0,0,0,0,0,0,0,
2024.4.2,대전광역시,41579,화,0,0,0,0,0,0,0,
2024.4.3,대전광역시,157298,수,0,0,0,0,0,0,0,
2024.4.4,대전광역시,70474,목,0,0,0,0,0,0,0,
2024.4.5,대전광역시,31957,금,0,0,0,0,0,0,0,
2024.4.8,대전광역시,85370,월,0,0,0,0,0,0,0,
2024.4.9,대전광역시,37625,화,0,0,0,0,0,0,0,
2024.4.11,대전광역시,117585,목,0,0,0,0,0,0,0,
2024.4.12,대전광역시,66266,금,0,0,0,0,0,0,0,
2024.4.15,대전광역시,174085,월,0,0,0,0,0,0,0,
2024.4.16,대전광역시,78281,화,0,0,0,0,0,0,0,
2024.4.17,대전광역시,68181,수,0,0,0,0,0,0,0,
2024.4.18,대전광역시,142425,목,0,0,0,0,0,0,0,
2024.4.19,대전광역시,30000,금,0,0,0,0,0,0,0,
2024.4.22,대전광역시,139328,월,0,0,0,0,0,0,1,
2024.4.23,대전광역시,21388,화,0,0,0,0,0,0,1,
2024.4.24,대전광역시,35980,수,0,0,0,0,0,0,1,
2024.4.25,대전광역시,95879,목,0,0,0,0,0,0,1,
2024.4.26,대전광역시,82726,금,0,0,0,0,0,0,0,
2024.4.29,대전광역시,109719,월,0,0,0,0,0,0,0,
2024.4.30,대전광역시,83646,화,0,0,0,0,0,0,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
