접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세 (사업소분),재산세 (토지),제2기분 자동차세,사회보험료 통합
2024-09-02,대전광역시,109771,월,0,0,0,0,0,0,0
2024-09-03,대전광역시,56270,화,0,0,0,0,0,0,0
2024-09-04,대전광역시,101600,수,0,0,0,0,0,0,0
2024-09-05,대전광역시,103344,목,0,0,0,0,0,0,0
2024-09-06,대전광역시,67473,금,0,0,0,0,0,0,0
2024-09-09,대전광역시,117738,월,0,1,0,0,0,0,0
2024-09-10,대전광역시,439875,화,0,1,0,0,0,0,0
2024-09-11,대전광역시,101490,수,0,1,0,0,0,0,0
2024-09-12,대전광역시,137333,목,0,1,0,0,0,0,0
2024-09-13,대전광역시,54632,금,0,1,0,0,0,0,0
2024-09-19,대전광역시,153979,목,0,0,0,0,0,0,0
2024-09-20,대전광역시,45379,금,0,0,0,0,0,0,0
2024-09-23,대전광역시,188811,월,0,0,0,0,0,0,1
2024-09-24,대전광역시,43044,화,0,0,0,0,0,0,1
2024-09-25,대전광역시,57197,수,0,0,0,0,0,0,1
2024-09-26,대전광역시,102238,목,0,0,0,0,0,0,0
2024-09-27,대전광역시,43243,금,0,0,0,0,0,0,0
2024-09-30,대전광역시,107439,월,0,0,0,0,0,0,0
