접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세(사업소분),재산세(토지),제2기분 자동차세,사회보험료 통합
2025-04-01,대전광역시,25245,화,0,0,0,0,0,0,0
2025-04-02,대전광역시,112044,수,0,0,0,0,0,0,0
2025-04-03,대전광역시,51035,목,0,0,0,0,0,0,0
2025-04-04,대전광역시,32711,금,0,0,0,0,0,0,0
2025-04-07,대전광역시,83639,월,0,0,0,0,0,0,0
2025-04-08,대전광역시,20235,화,0,0,0,0,0,0,0
2025-04-09,대전광역시,28174,수,0,0,0,0,0,0,0
2025-04-10,대전광역시,62022,목,0,0,0,0,0,0,0
2025-04-11,대전광역시,113672,금,0,0,0,0,0,0,0
2025-04-14,대전광역시,112815,월,0,0,0,0,0,0,0
2025-04-15,대전광역시,135873,화,0,0,0,0,0,0,0
2025-04-16,대전광역시,38214,수,0,0,0,0,0,0,0
2025-04-17,대전광역시,112520,목,0,0,0,0,0,0,0
2025-04-18,대전광역시,20612,금,0,0,0,0,0,0,0
2025-04-21,대전광역시,150287,월,0,0,0,0,0,0,1
2025-04-22,대전광역시,75450,화,0,0,0,0,0,0,1
2025-04-23,대전광역시,37850,수,0,0,0,0,0,0,1
2025-04-24,대전광역시,56017,목,0,0,0,0,0,0,1
2025-04-25,대전광역시,37694,금,0,0,0,0,0,0,1
2025-04-28,대전광역시,116601,월,0,0,0,0,0,0,0
2025-04-29,대전광역시,45437,화,0,0,0,0,0,0,0
2025-04-30,대전광역시,43400,수,0,0,0,0,0,0,0
