접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2025.5.1,대전광역시,11947,목,0,0,0,0,0,0,0
2025.5.2,대전광역시,68053,금,0,0,0,0,0,0,0
2025.5.7,대전광역시,133069,수,0,0,0,0,0,0,0
2025.5.8,대전광역시,105009,목,0,0,0,0,0,0,0
2025.5.9,대전광역시,120458,금,0,0,0,0,0,0,0
2025.5.12,대전광역시,179167,월,0,0,0,0,0,0,0
2025.5.13,대전광역시,113716,화,0,0,0,0,0,0,0
2025.5.14,대전광역시,55698,수,0,0,0,0,0,0,0
2025.5.15,대전광역시,131459,목,0,0,0,0,0,0,0
2025.5.16,대전광역시,40432,금,0,0,0,0,0,0,0
2025.5.18,대전광역시,438604,일,0,0,0,0,0,0,0
2025.5.19,대전광역시,369571,월,0,0,0,0,0,0,0
2025.5.20,대전광역시,73218,화,0,0,0,0,0,0,0
2025.5.21,대전광역시,27649,수,0,0,0,0,0,0,1
2025.5.22,대전광역시,72040,목,0,0,0,0,0,0,1
2025.5.23,대전광역시,460616,금,0,0,0,0,0,0,1
2025.5.24,대전광역시,255304,토,0,0,0,0,0,0,1
2025.5.26,대전광역시,85463,월,0,0,0,0,0,0,0
2025.5.27,대전광역시,33246,화,0,0,0,0,0,0,0
2025.5.28,대전광역시,55611,수,0,0,0,0,0,0,0
2025.5.29,대전광역시,46107,목,0,0,0,0,0,0,0
2025.5.30,대전광역시,36398,금,0,0,0,0,0,0,0
,,,,,,,,,,
