행정동,사업체수,시구,세대수,면적 (㎢)
오정동,4629,대덕구,7509,3.06
대화동,3203,대덕구,3374,3.18
회덕동,2075,대덕구,5469,16.83
비래동,1558,대덕구,6952,3.35
송촌동,2390,대덕구,10464,1.94
중리동,3045,대덕구,10432,1.5
법1동,562,대덕구,5857,0.71
법2동,910,대덕구,6753,1.92
신탄진동,1469,대덕구,7008,22.99
석봉동,1250,대덕구,6682,1.22
덕암동,2321,대덕구,6654,6.24
목상동,1965,대덕구,3154,5.79
중앙동,3182,동구,2746,1.24
신인동,976,동구,6926,0.82
효동,2107,동구,8968,2.41
판암1동,835,동구,5981,5.36
판암2동,469,동구,5130,0.76
용운동,1805,동구,10330,3.47
대동,1229,동구,6110,0.78
자양동,1063,동구,6951,1.15
가양1동,1366,동구,6891,1.03
가양2동,1863,동구,9766,1.68
용전동,2478,동구,11770,1.2
성남동,1164,동구,5286,0.83
홍도동,1109,동구,6209,0.63
삼성동,2022,동구,6432,1.31
대청동,227,동구,1211,63.59
산내동,2247,동구,8289,50.42
복수동,1530,서구,8909,1.78
도마1동,2140,서구,9732,1.63
도마2동,1509,서구,8135,1.77
정림동,1444,서구,6773,6.04
변동,1992,서구,6538,1.48
용문동,1318,서구,7131,1.01
탄방동,4575,서구,14893,1.65
둔산1동,2605,서구,5737,1.07
둔산2동,5327,서구,15091,2.4
둔산3동,1332,서구,7883,0.75
괴정동,3492,서구,11723,1.25
가장동,892,서구,4775,0.57
내동,1611,서구,9542,0.99
갈마1동,2099,서구,11924,1.5
갈마2동,2136,서구,13564,0.73
월평1동,2176,서구,7630,2.8
월평2동,1794,서구,6722,0.55
월평3동,817,서구,7609,0.9
만년동,1771,서구,6100,1.71
가수원동,1305,서구,4805,4.89
도안동,3223,서구,13976,5.23
관저1동,1202,서구,6622,1.06
관저2동,3739,서구,19599,4.62
기성동,533,서구,1832,49.16
진잠동,3413,유성구,11811,40.4
학하동,2386,유성구,8966,13.4
원신흥동,1902,유성구,13553,2.8
상대동,1455,유성구,9173,2.5
온천1동,5662,유성구,17734,5
온천2동,4850,유성구,21408,7
노은1동,3349,유성구,8824,11.4
노은2동,1358,유성구,9538,10.4
노은3동,2407,유성구,14202,9
신성동,2937,유성구,12292,31
전민동,2618,유성구,11507,9.01
구즉동,2078,유성구,15084,27.5
관평동,4693,유성구,12675,7.2
은행선화동,4045,중구,8398,1.49
목동,980,중구,5877,0.71
중촌동,1422,중구,6595,1.19
대흥동,2488,중구,7428,1.2
문창동,1167,중구,2508,0.46
석교동,1480,중구,7609,4.32
대사동,969,중구,3259,2.02
부사동,1274,중구,3421,1.14
용두동,1109,중구,5165,0.78
오류동,1866,중구,4982,0.66
태평1동,1108,중구,5211,0.7
태평2동,1329,중구,9515,1
유천1동,1584,중구,3410,0.6
유천2동,1490,중구,6540,0.7
문화1동,1398,중구,8407,2.17
문화2동,949,중구,5924,1.46
산성동,3935,중구,12636,41.6
