,행정동명,사업체수,시구,세대수,면적 (㎢),주소수,담당 통상배달국명,담당 집배원수(추정),주소밀도,행정동_위도,행정동_경도,담당 우체국명,담당 우체국 공식주소,담당 우체국 위도,담당 우체국 경도,배달국_집배원수,배달국내_주소비율,배달국내_세대비율,배달국내_사업체비율,인력배분비율
0,오정동,4629,대덕구,7509,3.06,3194,대전대덕,7.615,1043.7908496732025,36.352134022277255,127.4158434789732,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.178655,0.093503,0.182409,0.138448
1,대화동,3203,대덕구,3374,3.18,1310,대전대덕,4.622,411.9496855345912,36.369581615188885,127.4072683699094,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.073274,0.042013,0.126217,0.084038
2,회덕동,2075,대덕구,5469,16.83,1912,대전대덕,4.141,113.60665478312538,36.3968631240258,127.43366288251433,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.106947,0.0681,0.081767,0.075293
3,비래동,1558,대덕구,6952,3.35,1197,대전대덕,4.064,357.3134328358209,36.36472076902099,127.45496959210803,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.066954,0.086567,0.061394,0.073891
4,송촌동,2390,대덕구,10464,1.94,1233,대전대덕,6.146,635.5670103092783,36.36328114121035,127.44313999946206,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.068967,0.130298,0.09418,0.111745
5,중리동,3045,대덕구,10432,1.5,3050,대전대덕,6.899,2033.3333333333333,36.36162377549439,127.42768109862216,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.170601,0.1299,0.119991,0.125442
6,법1동,562,대덕구,5857,0.71,65,대전대덕,2.587,91.54929577464789,36.37128414285752,127.42585558094534,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.003636,0.072932,0.022146,0.047031
7,법2동,910,대덕구,6753,1.92,202,대전대덕,3.268,105.20833333333334,36.3742416417714,127.4367092870571,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.011299,0.084089,0.035859,0.059414
8,신탄진동,1469,대덕구,7008,22.99,2037,대전대덕,4.016,88.60374075685081,36.440181349056104,127.46225983056887,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.113939,0.087264,0.057887,0.073016
9,석봉동,1250,대덕구,6682,1.22,893,대전대덕,3.632,731.9672131147541,36.44937602135271,127.42369434147474,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.04995,0.083205,0.049257,0.066035
10,덕암동,2321,대덕구,6654,6.24,2077,대전대덕,4.812,332.8525641025641,36.43111934375323,127.42825444031799,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.116176,0.082856,0.091461,0.087482
11,목상동,1965,대덕구,3154,5.79,708,대전대덕,3.199,122.27979274611398,36.43993740673555,127.40305896551197,대전대덕우체국,대전광역시 대덕구 문평동로 16,36.4474738,127.4003943,55,0.039602,0.039274,0.077432,0.058166
12,중앙동,3182,동구,2746,1.24,2625,대전,4.886,2116.935483870968,36.33113888314285,127.43416166313315,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.10208,0.025194,0.131803,0.078811
13,신인동,976,동구,6926,0.82,839,대전,3.209,1023.1707317073171,36.32259117871861,127.44114624924396,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.032627,0.063544,0.040427,0.051761
14,효동,2107,동구,8968,2.41,847,대전,5.221,351.45228215767634,36.31036013413472,127.4565776733535,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.032938,0.082278,0.087275,0.084209
15,판암1동,835,동구,5981,5.36,592,대전,2.758,110.44776119402984,36.31738327042319,127.46931161511564,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.023022,0.054874,0.034587,0.044481
16,판암2동,469,동구,5130,0.76,632,대전,2.055,831.578947368421,36.32116846444311,127.45481653995778,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.024577,0.047066,0.019427,0.033137
17,용운동,1805,동구,10330,3.47,1766,대전,5.244,508.9337175792507,36.3334543818643,127.46197998935911,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.068676,0.094774,0.074766,0.084583
18,대동,1229,동구,6110,0.78,1528,대전,3.32,1958.974358974359,36.32882179453726,127.44516970753367,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.059421,0.056057,0.050907,0.053545
19,자양동,1063,동구,6951,1.15,1794,대전,3.352,1560.0000000000002,36.33836164172759,127.45014644283583,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.069765,0.063773,0.044031,0.054067
20,가양1동,1366,동구,6891,1.03,2473,대전,3.738,2400.9708737864075,36.34322301192842,127.44313464778686,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.09617,0.063223,0.056582,0.060298
21,가양2동,1863,동구,9766,1.68,2120,대전,5.169,1261.904761904762,36.34844195921923,127.45406473342942,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.082442,0.0896,0.077168,0.083367
22,용전동,2478,동구,11770,1.2,1801,대전,6.505,1500.8333333333335,36.35408965503487,127.43427686988466,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.070037,0.107986,0.102643,0.104923
23,성남동,1164,동구,5286,0.83,1393,대전,3.002,1678.3132530120483,36.3438359096628,127.43324655677736,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.054171,0.048497,0.048215,0.04842
24,홍도동,1109,동구,6209,0.63,1071,대전,3.183,1700.0,36.34812922119385,127.42576115402429,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.041649,0.056965,0.045937,0.051338
25,삼성동,2022,동구,6432,1.31,2447,대전,4.443,1867.9389312977098,36.3387751804416,127.42531778053282,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.095158,0.059011,0.083754,0.071657
26,대청동,227,동구,1211,63.59,1305,대전,0.663,20.522094668973107,36.36963029740453,127.49217981860151,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.050749,0.01111,0.009403,0.010701
27,산내동,2247,동구,8289,50.42,2482,대전,5.251,49.226497421658074,36.24934161075709,127.46264937980767,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.09652,0.076049,0.093074,0.084702
28,복수동,1530,서구,8909,1.78,742,대전둔산,4.446,416.85393258426967,36.30203607567264,127.37681588342411,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.029799,0.041009,0.03026,0.035565
29,도마1동,2140,서구,9732,1.63,2536,대전둔산,5.525,1555.8282208588957,36.31869308760175,127.38169731223252,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.101847,0.044797,0.042324,0.044201
30,도마2동,1509,서구,8135,1.77,1948,대전둔산,4.267,1100.5649717514125,36.32051768969095,127.36544105632946,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.078233,0.037446,0.029845,0.034132
